Summary,Priority,Preconditions,Steps,Expected Result,Requirement Keys,Labels,Technique
"TC-ISO-001 Company A search does not show Company B",1,"GLOBEX case titled GLOBEX-CASE-RED exists. nw-ro on NORTHWIND.","1. Log in as nw-ro. | 2. Open Search. | 3. Search GLOBEX-CASE-RED. | 4. Check list.","Zero rows with GLOBEX-CASE-RED. Fail if title appears (stopper).",REQ-ISO-01,"ISO;RSK-ISO-01;qa-scribe","NEG;EP"
"TC-RBAC-001 Read-only does not see Upload",2,"nw-ro on assigned NORTHWIND case.","1. Log in as nw-ro. | 2. Open assigned case. | 3. Look for Upload.","Upload not on screen.",REQ-RBAC-01,"RBAC;RSK-RBAC-01;qa-scribe","ROLE-MATRIX;NEG"
"TC-RBAC-002 Investigator can Upload",2,"nw-inv assigned to NW-1. Synthetic sample.txt.","1. Log in as nw-inv. | 2. Open NW-1. | 3. Upload sample.txt. | 4. Confirm file name.","Upload visible; file listed; no GLOBEX data.",REQ-RBAC-02,"RBAC;qa-scribe","ROLE-MATRIX;EP"
"TC-RBAC-003 Investigator does not see Manage users",2,"nw-inv logged in.","1. Log in as nw-inv. | 2. Open main menu. | 3. Look for Manage users.","Manage users not visible.",REQ-RBAC-03,"RBAC;RSK-RBAC-02;qa-scribe","ROLE-MATRIX;NEG"
"TC-RBAC-004 Admin sees Manage users",2,"nw-admin.","1. Log in as nw-admin. | 2. Open Manage users. | 3. Scan for GLOBEX names.","Page opens; NORTHWIND users only.",REQ-RBAC-04,"RBAC;qa-scribe","ROLE-MATRIX;EP"
"TC-AUTH-001 Valid login",1,"nw-inv synthetic password.","1. Open login. | 2. Enter nw-inv and password. | 3. Submit.","NORTHWIND case list. No GLOBEX titles.",REQ-AUTH-01,"AUTH;qa-scribe",EP
"TC-AUTH-002 Wrong password",2,"Login page.","1. Enter nw-inv and wrong password. | 2. Submit.","Error. Case list not shown.",REQ-AUTH-02,"AUTH;qa-scribe","NEG;EP"
"TC-VAL-001 Empty Case title does not save",3,"nw-inv on New case.","1. Log in as nw-inv. | 2. New case. | 3. Empty title. | 4. Save.","Error on title. No new case.",REQ-VAL-01,"VAL;RSK-VAL-01;qa-scribe","BVA;NEG"
"TC-RBAC-005 Read-only does not see Export",2,"nw-ro on assigned case.","1. Log in as nw-ro. | 2. Open case. | 3. Look for Export.","Export not visible. If visible and no file, leftover High not stopper.",REQ-RBAC-05,"RBAC;RSK-RBAC-03;qa-scribe","ROLE-MATRIX;NEG"
"TC-AUD-001 Denied try in Activity log",3,"After TC-RBAC-001. nw-admin.","1. nw-ro on case without Upload. | 2. Log in as nw-admin. | 3. Activity log filter nw-ro.","Log rows for nw-ro today.",REQ-AUD-01,"AUD;RSK-AUD-01;qa-scribe","NEG;EP"
