Summary,Priority,Preconditions,Steps,Expected Result,Requirement Keys,Labels,Technique
"TC-RBAC-001 Admin cannot read GLOBEX evidence via UI search",1,"Admin nw-admin on NORTHWIND. GLOBEX evidence EV-GLOBEX-A filename globex-seal-A.bin.","1. Authenticate as nw-admin. | 2. Open evidence search. | 3. Search globex-seal-A.bin. | 4. Capture result list.","Zero results; no GLOBEX object IDs; no GLOBEX metadata.",REQ-RBAC-01,"RBAC;RSK-ISO-01;qa-scribe","ROLE-MATRIX;NEG"
"TC-RBAC-002 Investigator download of assigned NORTHWIND original",1,"Investigator nw-inv assigned to NW-1; EV-NW-1 healthy.","1. Authenticate as nw-inv. | 2. Open case NW-1. | 3. Download original EV-NW-1. | 4. Record HTTP status and byte length.","HTTP 200; byte length matches ingest; object remains NORTHWIND.",REQ-RBAC-02,"RBAC;RSK-ISO-01;qa-scribe","ROLE-MATRIX;EP"
"TC-RBAC-003 Investigator API GET on GLOBEX UUID returns 404",1,"GLOBEX UUID 11111111-aaaa-4bbb-8ccc-222222222222 exists. NORTHWIND Investigator nw-inv token valid.","1. Obtain Bearer token for nw-inv. | 2. GET /api/v1/evidence/{GLOBEX-UUID}. | 3. Record status and body. | 4. Admin query NORTHWIND audit.","HTTP 404; no metadata in body; NORTHWIND audit outcome=deny.",REQ-RBAC-03;REQ-RBAC-01;REQ-API-02,"RBAC;ISO;RSK-ISO-01;RSK-API-01;qa-scribe","ROLE-MATRIX;NEG"
"TC-RBAC-004 Cross-tenant evidence UUID returns 404 for Read-only",1,"Read-only nw-ro on NORTHWIND. Same GLOBEX UUID as TC-RBAC-003. Unknown UUID 99999999-ffff-4aaa-8bbb-000000000000.","1. Authenticate as nw-ro; confirm JWT tenant and role. | 2. GET GLOBEX UUID. | 3. Record status and body. | 4. GET unknown UUID. | 5. Admin audit for both object IDs.","Both GET return 404; bodies do not distinguish existence; two deny audit rows; fail on 403 or 200.",REQ-RBAC-03;REQ-RBAC-01,"RBAC;ISO;RSK-ISO-01;RSK-ISO-02;qa-scribe","ROLE-MATRIX;NEG"
"TC-RBAC-005 Foreign UUID vs unknown UUID same 404 shape",2,"NORTHWIND Investigator; GLOBEX existing UUID and random UUID.","1. GET foreign existing UUID. | 2. GET random UUID. | 3. Diff status and JSON keys.","Both 404; same key set; no exists/tenant discriminator.",REQ-RBAC-03,"RBAC;RSK-ISO-02;qa-scribe","EP;NEG"
"TC-RBAC-006 Read-only denied original download home tenant",2,"nw-ro assigned to NW-1; EV-NW-1 exists.","1. Authenticate as nw-ro. | 2. Request original download EV-NW-1. | 3. Record HTTP status. | 4. Check audit.","HTTP 403; no bytes; audit outcome=deny.",REQ-RBAC-05,"RBAC;RSK-RBAC-01;qa-scribe","ROLE-MATRIX;DT;NEG"
"TC-RBAC-007 Investigator cannot self-assign Admin",2,"nw-inv valid; role-admin API available.","1. Authenticate as nw-inv. | 2. PUT/PATCH own role to Admin. | 3. Re-read /me role. | 4. Confirm audit.","HTTP 403; role remains Investigator; audit deny on role_change.",REQ-RBAC-04,"RBAC;RSK-RBAC-01;qa-scribe","DT;NEG"
"TC-RBAC-008 Revoked Investigator token cannot download",2,"Capture nw-inv token before Admin revoke. EV-NW-1 exists.","1. Capture Bearer token. | 2. Admin revokes Investigator. | 3. GET download with old token. | 4. Record status.","HTTP 401 or 403; no bytes; 200 is a fail.",REQ-RBAC-08,"RBAC;RSK-RBAC-02;qa-scribe","ST;NEG"
"TC-RBAC-009 Body tenant_id GLOBEX ignored for NORTHWIND token",2,"API list/search that accepts JSON body.","1. Authenticate as nw-inv. | 2. Call list with body tenant_id=GLOBEX. | 3. Inspect objects.","Only NORTHWIND objects or empty; no GLOBEX objects.",REQ-API-01,"API;RSK-API-01;qa-scribe","NEG;EP"
"TC-RBAC-010 Reporter cannot open unassigned case",2,"nw-rep assigned only to NW-1; NW-2 exists.","1. Authenticate as nw-rep. | 2. GET case NW-2. | 3. Record status and body.","HTTP 403; no NW-2 notes; audit deny.",REQ-RBAC-06,"RBAC;RSK-EXP-01;qa-scribe","ROLE-MATRIX;NEG"
